#,Title,Authors,Barcode,Call No,ISBN,Status,Patron Status,Hold Status
5649,"The league of extraordinary gentlemen. vol 2","Moore, Alan",23124003518553,F MOO,1563896656,In,0,No Hold
5650,"Learn to speak dance : a guide to creating, performing, and promoting your moves","Williams, Ann-Marie",33124082007187,792.8 WIL,9781926818887,In,0,No Hold
5651,"Learn to speak film : a guide to creating, promoting & screening your movies","Glassbourg, Michael",33124090482679,791.43 GLA,9781926973852,In,0,No Hold
5652,"Learning by designing : Pacific Northwest Coast Native Indian art","Gilbert, Jim",33124058454520,709 GIL,09692979391,In,0,No Hold
5653,"Learning by designing : Pacific Northwest Coast Native Indian art","Gilbert, Jim",33124058454579,709 GIL,09692979391,In,0,No Hold
5654,"Learning disabilities","Author, Unknown",33124058118513,371.9 LEA,9780737756951,In,0,No Hold
5655,"Learning to fly","Yee, Paul",33124046424809,F YEE,9780605227927,In,0,No Hold
5656,"Learning to fly","Yee, Paul",33124054037170,F YEE,9780605227927,In,0,No Hold
5657,"Leaving Fletchville","Schmidt, René",33124070473235,F SCH,9781551439457,In,0,No Hold
5658,"Leaving home : stories","Author, Unknown",1788511,F LEA,60248742,In,0,No Hold
5659,"Lebanese cuisine","Helou, Anissa",33124074241604,641.59 HEL,312131119,In,0,No Hold
5660,"LeBron James","Norwich, Grace",33124092797637,796.323 JAM NOR,9780545794282,In,0,No Hold
5661,"LeBron James","Norwich, Grace",33124092797629,796.323 JAM NOR,9780545794282,Lost/Missing,0,No Hold
5662,"LeBron's dream team : how five friends made history","James, LeBron",33124074241521,796.323 JAM,9780143118220,Lost/Missing,0,No Hold
5663,"LeBron's dream team : how five friends made history","James, LeBron",33124096020499,796.323 JAM,9780143118220,Lost/Missing,0,No Hold
5664,"Led Zeppelin","Schlesinger, Ethan",33124046428925,781.66 SCH,9781422202128,In,0,No Hold
5665,"Legacy","Rice, Waubgeshig",33124101581378,F RIC,9781926886343,In,0,No Hold
5666,"The legacy","Buffa, Dudley W.",33124074244152,F BUF,446527386,In,0,No Hold
5667,"The legacy of Norman Rockwell","Sonder, Ben",33124059829035,759.13 SON,1597640786,In,0,No Hold
5668,"The legacy of the War of 1812","Flatt, Lizann",33124082006817,973.52 FLA,9780778779612,In,0,No Hold
5669,"The legacy of the War of 1812","Flatt, Lizann",33124092798510,973.52 FLA,9780778779612,Lost/Missing,0,No Hold
5670,"Legacy & tradition : 3rd Canadian Ranger Patrol Group","Miso, Jean",33124103243076,355.3 MIS,9780986693854,In,0,No Hold
5671,"Legalized gambling : revenue boom or social bust?","Doeden, Matt",33124070118715,363.42 DOE,9780761351146,In,0,No Hold
5672,"Legalizing drugs : crime stopper or social risk?","Goldstein, Margaret J",33124070118657,362.29 GOL,9780761351160,In,0,No Hold
5673,"Legally green : careers in environmental law","Down, Susan Brophy",33124092305803,344.046 DOW,9780778748571,In,0,No Hold
5674,"Legend","Lu, Marie",33124101581345,F LU,9780605593275,Lost/Missing,0,No Hold
5675,"The legend in pictures : The Beatles. A photographic journey into the world of these true legends","Author, Unknown",33124085417292,781.66 BEA,9781445456522,In,0,No Hold
5676,"The legend of Hong Kil Dong, the Robin Hood of Korea","O'Brien, Anne Sibley",33124049738213,F OBR,9781580893039,In,0,No Hold
5677,"The legend of Korra : turf wars, part one /","DiMartino, Michael Dante",33124106913691,F DIM,1506700152,In,0,No Hold
5678,"The legend of Odysseus","Connolly, Peter",678808,938 CON,199170657,In,0,No Hold
5679,"The legend of Rock Paper Scissors","Daywalt, Drew",33124108125526,E DAY,62438891,In,0,No Hold
5680,"The legend of Skull Cliff","Gregory, Kristiana",33124083408160,F GRE,439929520,In,0,No Hold
5681,"The Legend of Sleepy Hollow : found among the papers of the late Diedrich Knickerbocker","Irving, Washington",1494962,E IRV,0590107135,In,0,No Hold
5682,"The legend of the bluebonnet : an old tale of Texas","DePaola, Tomie",33124083409895,398 .2 DEP,399224114,In,0,No Hold
5683,"The legend of the lady's slipper","Wargin, Kathy-Jo",33124038889548,E WAR,1886947740,In,0,No Hold
5684,"The legend of the loon","Wargin, Kathy-Jo",33124038889498,E WAR,1585361674,In,0,No Hold
5685,"The legend of the lost jewels","Lanthier, Jennifer",33124070324610,F LAN,9780006391616,In,0,No Hold
5686,"Legend of the lure","Maddox, Jake",33124058454314,F MAD,9781434207838,In,0,No Hold
5687,"The legend of Zelda. 1, Ocarina of time, part 1 /","Himekawa, Akira",33124102654281,F HIM,9781421523279,Lost/Missing,0,No Hold
5688,"The legend of Zelda. 1, Ocarina of time, part 1 /","Himekawa, Akira",33124097605306,F HIM,9781421523279,In,0,No Hold
5689,"The legend of Zelda : twilight princess. 1 /","Himekawa, Akira",33124124423418,F HIM,9781421593470,Lost/Missing,0,No Hold
5690,"The legendary Mo Seto","Chan, AY",33124127651379,F CHA,9781665937320,In,0,No Hold
5691,"Legends, icons & rebels : music that changed the world","Robertson, Robbie",33124094556551,781.63 ROB,9781770495715,In,0,No Hold
5692,"Legends, icons & rebels : music that changed the world","Robertson, Robbie",33124094556528,781.63 ROB,9781770495715,Lost/Missing,0,No Hold
5693,"Legends of the Iroquois","Tehanetorens",33124041575324,398.2 TEH,1570670560,In,0,No Hold
5694,"Legends of Zita the spacegirl","Hatke, Ben",33124096020135,F HAT,9781596434479,In,0,No Hold
